QUESTIONNAIRE INITIAL,,,,,,,,,,,,
,,,,,,,Questionnaire Initial,,,,,
N,Session ,SEXE,Naissance,Experience ,Domaine,Pedagogie,Q1,Q2,Q3,Q4,Q5,Q6
S92,2013-juin ,Homme,1986,SXP,,Passive,JUSTE,NSP,FAUX,FAUX,JUSTE,NSP
S93,2013-juin ,Homme,1982,SXP,,Active,JUSTE,NSP,JUSTE,JUSTE,FAUX,FAUX
S94,2013-juin ,Homme,1989,SXP,,Passive,NSP,NSP,NSP,NSP,NSP,NSP
S95,2013-juin ,Homme,1987,SXP,,Passive,JUSTE,FAUX,FAUX,NSP,NSP,NSP
S96,2013-juin ,Femme,1960,SXP,,Active,FAUX,NSP,FAUX,FAUX,JUSTE,FAUX
S97,2013-juin ,Femme,1970,SXP,,Active,FAUX,FAUX,JUSTE,FAUX,JUSTE,JUSTE
S98,2013-juin ,Femme,1979,SXP,,Passive,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX
S99,2013-juin ,Femme,1992,SXP,,Passive,FAUX,JUSTE,JUSTE,FAUX,FAUX,NSP
S100,2013-juin ,Homme,1975,SXP,,Active,JUSTE,FAUX,FAUX,JUSTE,FAUX,NSP
S101,2013-juin ,Homme,1979,XPP3,Pro,Passive,JUSTE,NSP,FAUX,NSP,FAUX,NSP
S102,2013-juin ,Homme,1985,SXP,,Passive,FAUX,NSP,JUSTE,JUSTE,NSP,NSP
